Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Profile,Neck Joint,Fretboard Material,Neck Material,Expensive Wood,Bridge Type,Bridge,Scale Size,Shape,Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Bridge Pickup,Neck Pickup,Middle Pickup,Top Pickup Brand,Locking Tuners,Tremolo,Stays in Tune (Evertune),Luminescent Inlay,Compound Radius Fretboard,Price,Number of Frets,Pickups Power
Reverend,2021.0,HH,6.0,South Korea,Solid Body,Double Cut,Limba,C,Set,Ebony,Limba,True,Fixed,TOM with Stop Tail,"24.75""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,1.0,Chisel Bridge (Humbucker / Passive),Chisel Neck (Humbucker / Passive),,True,True,False,False,False,False,1224.25,22,Passive-Passive
Yamaha,2022.0,P90P90,6.0,Indonesia,Solid Body,Double Cut,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,Tune-O-Matic,"24.75""",Revstar C,Jumbo,"12""",True,Plastic,41.9mm (1.65''),5 Way,Dome,1.0,1.0,VP5b (Single Coil / Passive),VP5n (Single Coil / Passive),,True,False,False,False,False,False,771.8040000000001,22,Passive-Passive
Yamaha,2022.0,HH,6.0,Indonesia,Solid Body,Double Cut,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,Tune-O-Matic,"24.75""",Revstar C,Jumbo,"12""",True,Plastic,41.9mm (1.65''),5 Way,Dome,1.0,1.0,VH5b (Humbucker / Passive),VH5n (Humbucker / Passive),,True,False,False,False,False,False,738.142,22,Passive-Passive
PRS,2020.0,HH,6.0,United States,Solid Body,PRS,Mahogany,Asymmetrical,Set,Rosewood,Mahogany,True,Fixed,PRS Two-Piece,"24.6""",Pattern Vintage,Medium Jumbo,"10""",False,PRS Propietary,42.9mm (1.688''),3 Way,Speed,2.0,2.0,PRS 58/15 S (Humbucker / Passive),PRS 58/15 S (Humbucker / Passive),,True,False,False,False,False,False,1664.582,22,Passive-Passive
PRS,2020.0,HH,6.0,United States,Solid Body,PRS,Mahogany,Asymmetrical,Set,Rosewood,Mahogany,True,Fixed,PRS Two-Piece,"24.6""",Pattern Vintage,Medium Jumbo,"10""",False,PRS Propietary,42.9mm (1.688''),3 Way,Speed,2.0,2.0,PRS 58/15 S (Humbucker / Passive),PRS 58/15 S (Humbucker / Passive),,True,False,False,False,False,False,1699.57,22,Passive-Passive
PRS,2020.0,HH,6.0,United States,Solid Body,PRS,Mahogany,C,Set,Rosewood,Mahogany,True,Tremolo,"PRS Patented Tremolo, Molded","25""",Pattern Regular,Medium Jumbo,"10""",False,PRS Propietary,42.1mm (1.656''),3 Way,Speed,1.0,1.0,PRS 58/15 S (Humbucker / Passive),PRS 58/15 S (Humbucker / Passive),,True,True,True,False,False,False,1215.624,24,Passive-Passive
PRS,2020.0,HH,6.0,United States,Solid Body,PRS,Mahogany,C,Set,Rosewood,Mahogany,True,Tremolo,"PRS Patented Tremolo, Molded","25""",Pattern Regular,Medium Jumbo,"10""",False,PRS Propietary,42.1mm (1.656''),3 Way,Speed,1.0,1.0,PRS 58/15 S (Humbucker / Passive),PRS 58/15 S (Humbucker / Passive),,True,True,True,False,False,False,1292.136,24,Passive-Passive
PRS,2019.0,HS,6.0,United States,Semi-Hollow,PRS,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,PRS Plate Style,"25""",Pattern Regular,Medium Jumbo,"10""",False,PRS Propietary,42.1mm (1.656''),3 Way,Speed,1.0,1.0,PRS-Designed DS-01 (Humbucker / Passive),PRS Type-D Singlecoil (Single Coil / Passive),,True,True,False,False,False,False,1517.282,22,Passive-Passive
Yamaha,2019.0,HH,6.0,Japan,Hollowbody,ES,Maple,C,Set,Ebony,Mahogany,True,Fixed,Gotoh GE103B,"24.75""",SA,Medium Jumbo,"13.78""",False,Bone,43mm (1.693''),3 Way,Bell,2.0,2.0,Yamaha Humbucker/Alnico V (Humbucker / Passive),Yamaha Humbucker/Alnico V (Humbucker / Passive),,True,False,False,False,False,False,1882.3775,22,Passive-Passive
PRS,2020.0,HH,7.0,Indonesia,Solid Body,PRS,Mahogany,C,Set,Ebony,Maple,True,Fixed,PRS Plate Style (String Through),"26.5""",Wide Thin,Jumbo,"20""",False,PRS Propietary,42.9mm (1.688''),3 Way,Dome,1.0,1.0,PRS Mark Holcomb Signature Seymour Duncan “Omega” (Humbucker / Passive),Mark Holcomb Signature Seymour Duncan “Alpha” (Humbucker / Passive),,True,False,False,False,False,False,1106.302,24,Passive-Passive
Reverend,2021.0,HH,6.0,South Korea,Solid Body,Double Cut,Limba,C,Set,Ebony,Limba,True,Fixed,TOM with Stop Tail,"24.75""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,2.0,Chisel Bridge (Humbucker / Passive),Chisel Neck (Humbucker / Passive),,True,True,False,False,False,False,1075.142,22,Passive-Passive
Reverend,2021.0,HP90P90,6.0,South Korea,Solid Body,Offset,Limba,C,Bolt-On,Rosewood,Maple,True,Tremolo,Wilkinson WVS50 IIK Tremolo,"25.5""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),5 Way,Dome,1.0,2.0,HA5 Bridge (Humbucker / Passive),9A5 Neck (Single Coil / Passive),9A5 Middle (Single Coil / Passive),True,True,True,False,False,False,1125.3766666666668,22,Passive-Passive-Passive
Gibson,2020.0,HH,6.0,United States,Solid Body,Les Paul,Mahogany,V,Set,Rosewood,Mahogany,True,Fixed,ABR-1 Tune-O-Matic,"24.75""",50s Vintage,Medium Jumbo,"12""",False,Ivory Tusq,43mm (1.693''),3 Way,Bell,2.0,2.0,Gibson Custom Burstbucker Alnico II (Reverse Zebra-AP) & (Dbl Black-NV) (Humbucker / Passive),Gibson Custom Burstbucker Alnico II (Zebra-AP) & (Dbl Black-NV) (Humbucker / Passive),,True,False,False,False,False,False,2210.42,22,Passive-Passive
Gibson,2020.0,HH,6.0,United States,Solid Body,Les Paul,Mahogany,V,Set,Rosewood,Mahogany,True,Fixed,ABR-1 Tune-O-Matic,"24.75""",50s Vintage,Medium Jumbo,"12""",False,Ivory Tusq,43mm (1.693''),3 Way,Bell,2.0,2.0,Gibson Custom BurstBucker Alnico 2 (Double Black exposed coils) (Humbucker / Passive),Gibson Custom BurstBucker Alnico 2 (Double Black exposed coils) (Humbucker / Passive),,True,False,False,False,False,False,2032.506666666667,22,Passive-Passive
ESP LTD,2022.0,HH,6.0,Indonesia,Solid Body,Explorer,Mahogany,U,Set,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM & Tailpiece,"24.75""",Thin U,XL Jumbo,"13.78""",False,Plastic,42mm (1.654''),3 Way,Dome,2.0,0.0,EMG JH James Hetfield (Humbucker / Active),EMG JH James Hetfield (Humbucker / Active),,True,True,False,False,False,False,1642.3200000000002,22,Active-Active
ESP LTD,2021.0,HH,6.0,Indonesia,Solid Body,Firebird,Mahogany,U,Set,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM & Tailpiece,"24.75""",Thin U,XL Jumbo,"13.78""",False,Plastic,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Distortion SH-6 (Humbucker / Passive),Seymour Duncan Distortion SH-6 (Humbucker / Passive),,True,True,False,False,False,False,1196.22,22,Passive-Passive
Fender,1992.0,SSS,6.0,United States,Solid Body,Stratocaster,Alder,V,Bolt-On,Pau Ferro,Maple,False,Tremolo,6-Saddle American Vintage Synchronized Tremolo,"25.5""",SRV Thick Oval,Narrow Tall,"12""",False,Synthetic Bone,42mm (1.654''),5 Way,Bell,1.0,2.0,Fender Custom Shop Texas Special Single-Coil Strat (Single Coil / Passive),Fender Custom Shop Texas Special Single-Coil Strat (Single Coil / Passive),Fender Custom Shop Texas Special Single-Coil Strat (Single Coil / Passive),True,False,True,False,False,False,1849.618,21,Passive-Passive-Passive
Schecter,2017.0,HSS,7.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"26.5""",Thin C,XL Jumbo,"16""",False,Locking,47.6mm (1.875''),5 Way,Dome,1.0,1.0,EMG Retro Active Hot 70 (Humbucker / Active),EMG Retro Active Single Coil (Single Coil / Active),EMG Retro Active Single Coil (Single Coil / Active),True,False,True,False,False,False,926.905,24,Active-Active-Active
Schecter,2017.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Maple,Maple,True,Floyd Rose,Floyd Rose Special Hot Rod Locking Tremolo (Schecter Exclusive),"25.5""",Thin C,XL Jumbo,"14""",False,Locking,41.3mm (1.625''),3 Way,Dome,2.0,0.0,EMG Retro Active Hot 70 (Humbucker / Active),EMG Retro Active Hot 70 (Humbucker / Active),,True,False,True,False,False,False,755.6200000000001,24,Active-Active
Dean,2021.0,HH,6.0,Indonesia,Solid Body,Les Paul,Mahogany,C,Set,Ebony,Mahogany,True,Fixed,Tune-O-Matic (Hardtail),"24.75""",C,Jumbo,"12""",False,NuBone,43mm (1.693''),3 Way,Speed,1.0,2.0,Fishman Fluence Modern (Humbucker / Active),Fishman Fluence Modern (Humbucker / Active),,True,False,False,False,False,False,892.9933333333333,22,Active-Active
Reverend,2021.0,HH,6.0,South Korea,Solid Body,Offset,Limba,C,Bolt-On,Maple,Maple,True,Tremolo,Wilkinson WVS50 IIK Tremolo,"25.5""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,2.0,Chisel Bridge (Humbucker / Passive),Chisel Neck (Humbucker / Passive),,True,True,True,False,False,False,1199.0,22,Passive-Passive
Charvel,2016.0,HSS,6.0,United States,Solid Body,Super Strat,Alder,C,Bolt-On,Rosewood,Maple,True,Fixed,Charvel Hardtail,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Bone,42.9mm (1.688''),5 Way,Dome,1.0,0.0,DiMarzio Super Distortion DP100 (Humbucker / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),DiMarzio HS-2 DP116 (Single Coil / Passive),True,False,False,False,False,True,2283.563333333333,22,Passive-Passive-Passive
Dean,2021.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,V,Set,Ebony,Mahogany,True,Fixed,Tune-O-Matic (Tone Pros w/V Plate),"24.75""",V,Jumbo,"12""",False,NuBone,43mm (1.693''),3 Way,Speed,2.0,2.0,Fishman Fluence Modern (Humbucker / Active),Fishman Fluence Modern (Humbucker / Active),,True,False,False,False,False,False,768.7275,22,Active-Active
ESP LTD,2014.0,HH,6.0,Indonesia,Solid Body,Les Paul,Mahogany,U,Set,Ebony,Maple,True,Fixed,TOM & Tailpiece,"24.75""",Thin U,XL Jumbo,"13.78""",False,Plastic,43mm (1.693''),3 Way,Dome,2.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,False,False,1346.96,22,Active-Active
Reverend,2021.0,HP90,6.0,South Korea,Solid Body,Offset,Limba,C,Set,Pau Ferro,Limba,True,Tremolo,Wilkinson WVS50 IIK Tremolo,"24.75""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),3 Way,Dome,1.0,2.0,HA5 Bridge (Humbucker / Passive),9A5 Neck (Single Coil / Passive),,True,True,True,False,False,False,1069.5225,22,Passive-Passive
Charvel,2015.0,H,6.0,Mexico,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Floyd Rose,Floyd Rose Original Double-Locking 2-Point Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),0 Way,Dome,1.0,0.0,Seymour Duncan Custom Design Warren DeMartini (Humbucker / Passive),,,True,False,True,False,False,True,1107.61,22,Passive
Jackson,2022.0,HH,6.0,Indonesia,Solid Body,Explorer,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,628.4440000000001,24,Passive-Passive
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,Explorer,Poplar,D,Neck-Through,Maple,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,695.4559999999999,24,Passive-Passive
Jackson,2019.0,HH,6.0,Indonesia,Solid Body,Explorer,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,657.548,24,Passive-Passive
Jackson,2021.0,HH,6.0,China,Solid Body,Explorer,Mahogany,D,Neck-Through,Laurel,Maple,True,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,798.516,24,Passive-Passive
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,V,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,2.0,1.0,Jackson Covered High-Output Humbucking Active (Humbucker / Active),Jackson Covered High-Output Humbucking Active (Humbucker / Active),,False,False,True,False,False,True,707.3779999999999,24,Active-Active
Jackson,2021.0,HSS,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Non-Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),False,False,True,False,False,True,666.1560000000001,24,Passive-Passive-Passive
Jackson,2021.0,HSS,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),False,False,True,False,False,True,649.5960000000001,24,Passive-Passive-Passive
Jackson,2021.0,HSS,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Maple,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),Duncan Designed HR-101 Hot Rails (Single Coil / Passive),False,False,True,False,False,True,699.0266666666666,24,Passive-Passive-Passive
Jackson,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HB-103N (Humbucker / Passive),,False,False,True,False,False,True,585.184,24,Passive-Passive
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson Covered High-Output Humbucking Active (Humbucker / Active),Jackson Covered High-Output Humbucking Active (Humbucker / Active),,False,False,True,False,False,True,668.4966666666667,24,Active-Active
Jackson,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HB-103N (Humbucker / Passive),,False,False,True,False,False,True,557.9333333333333,24,Passive-Passive
Jackson,2021.0,HH,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Maple,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HB-103N (Humbucker / Passive),,False,False,True,False,False,True,646.682,24,Passive-Passive
Jackson,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Duncan Designed HB-103B (Humbucker / Passive),Duncan Designed HB-103N (Humbucker / Passive),,False,False,True,False,False,True,656.6566666666666,24,Passive-Passive
Jackson,2022.0,HH,6.0,Indonesia,Solid Body,Offset,Poplar,D,Neck-Through,Laurel,Maple,False,Floyd Rose,Floyd Rose Special Double-Locking Tremolo (Recessed),"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,751.075,24,Passive-Passive
Jackson,2020.0,HH,6.0,Indonesia,Solid Body,Offset,Poplar,D,Neck-Through,Maple,Maple,False,Floyd Rose,Floyd Rose Special Double Locking 2-Point Tremolo,"25.5""",Speed,Jumbo,"12"" to 16""",False,Locking,42.9mm (1.688''),3 Way,Dome,1.0,1.0,Jackson High-Output Humbucking (Humbucker / Passive),Jackson High-Output Humbucking (Humbucker / Passive),,False,False,True,False,False,True,787.29,24,Passive-Passive
Dean,2022.0,HH,6.0,Indonesia,Solid Body,Explorer,Mahogany,V,Set,Ebony,Mahogany,True,Fixed,Tune-O-Matic (With Z Plate),"24.75""",V,Jumbo,"12""",False,NuBone,43mm (1.693''),3 Way,Speed,1.0,2.0,Fishman Fluence Modern (Humbucker / Active),Fishman Fluence Modern (Humbucker / Active),,True,False,False,False,False,False,932.9933333333332,22,Active-Active
Gibson,2019.0,HH,6.0,United States,Solid Body,V,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,Aluminum Nashville Tune-O-Matic,"24.75""",Slim Taper,Medium Jumbo,"12""",False,Ivory Tusq,43mm (1.693''),3 Way,Bell,2.0,1.0,Gibson 70s Tribute (Humbucker / Passive),Gibson 70s Tribute (Humbucker / Passive),,True,False,False,False,False,False,1971.1766666666665,22,Passive-Passive
Solar,2022.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose Special,"25.5""",Solar C Shape,XL Jumbo,"13.78""",False,Locking,43mm (1.693''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,False,True,False,False,False,792.54,24,Passive-Passive
Solar,2019.0,HH,7.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose Special,"26.5""",Solar C Shape,XL Jumbo,"15.748""",False,Locking,48mm (1.89''),5 Way,Dome,1.0,1.0,Duncan Solar/Bridge (Humbucker / Passive),Duncan Solar (Humbucker / Passive),,True,False,True,False,False,False,841.5,24,Passive-Passive
Fender,2019.0,SS,6.0,United States,Solid Body,Mustang,Alder,C,Bolt-On,Rosewood,Maple,True,Tremolo,American Performer Mustang Bridge and Tremolo,"24""",Modern C,Jumbo,"9.5""",False,Synthetic Bone,42.8mm (1.685''),3 Way,Bell,1.0,1.0,Fender Yosemite Single-Coil Mustang (Single Coil / Passive),Fender Yosemite Single-Coil Mustang (Single Coil / Passive),,True,False,True,False,False,False,972.96,22,Passive-Passive
Fender,2019.0,HSS,6.0,United States,Solid Body,Stratocaster,Alder,C,Bolt-On,Rosewood,Maple,True,Tremolo,6-Saddle Vintage-Style Synchronized Tremolo,"25.5""",Modern C,Jumbo,"9.5""",False,Synthetic Bone,42.8mm (1.685''),5 Way,Bell,1.0,2.0,Fender Double Tap Humbucking (Humbucker / Passive),Fender Yosemite Single-Coil Stratocaster (Single Coil / Passive),Fender Yosemite Single-Coil Stratocaster (Single Coil / Passive),True,False,True,False,False,False,1160.3075,22,Passive-Passive-Passive
Reverend,2022.0,H,6.0,South Korea,Solid Body,Offset,Limba,C,Set,Rosewood,Limba,True,Tremolo,Wilkinson WVS50 IIK Tremolo,"24.75""",Medium Oval,Jumbo,"12""",False,Boneite,43mm (1.693''),0 Way,Dome,1.0,2.0,Chisel Bridge (Humbucker / Passive),,,True,True,True,False,False,False,1199.99,22,Passive
Schecter,2015.0,HH,6.0,South Korea,Solid Body,Super Strat,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,Fishman Powerbridge (Piezo) w/TonePros T1Z Tailpiece,"25.5""",Thin C,XL Jumbo,"14""",False,Ivory Tusq,42mm (1.654''),3 Way,Dome,2.0,2.0,Schecter Diamond Plus (Humbucker / Passive),Schecter Diamond Plus (Humbucker / Passive),,False,False,False,False,False,False,960.444,24,Passive-Passive
Schecter,2019.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Wenge,Maple,True,Floyd Rose,Floyd Rose Special Hot Rod Locking Tremolo (Schecter Exclusive),"25.5""",Ultra Thin C,XL Jumbo,"14""",False,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Schecter Diamond Decimator (Humbucker / Passive),Schecter Diamond Decimator (Humbucker / Passive),,False,False,True,False,False,False,820.3,24,Passive-Passive
Kramer,2021.0,HH,6.0,Indonesia,Solid Body,V,Mahogany,C,Bolt-On,Ebony,Maple,True,Fixed,LockTone Tune-O-Matic,"24.75""",Slim C,Jumbo,"12.6""",False,Ivory Tusq,43mm (1.693''),3 Way,Dome,1.0,0.0,EMG 57 (Humbucker / Active),EMG 66 (Humbucker / Active),,True,False,False,False,False,False,775.1279999999999,24,Active-Active
Schecter,2019.0,H,7.0,South Korea,Solid Body,V,Mahogany,C,Set,Ebony,Mahogany,True,Fixed,TonePros 7-String TOM w/ String Thru Body,"26.5""",Thin C,XL Jumbo,"16""",False,Black Tusq XL,48mm (1.89''),0 Way,Dome,1.0,0.0,EMG 707 (Humbucker / Active),,,True,True,False,False,False,False,983.4375,24,Active
Fender,2021.0,SS,6.0,Mexico,Solid Body,Telecaster,Alder,C,Bolt-On,Rosewood,Maple,True,Fixed,6-Saddle Strings-Through-Body Tele with Stainless Steel Saddles,"25.5""",Mid 60s C,Narrow Tall,"7.25""",False,Synthetic Bone,42mm (1.654''),3 Way,Dome,1.0,1.0,Fender Vintage-Style 50s Single-Coil Tele (Single Coil / Passive),Fender Vintage-Style 50s Single-Coil Tele (Single Coil / Passive),,True,True,False,False,False,False,1194.494,21,Passive-Passive
Schecter,2020.0,HH,6.0,South Korea,Hollowbody,ES,Maple,C,Set,Rosewood,Mahogany,True,Bigsby Tremolo,Bigsby Archtop B70 w/ Roller TonePros TOM TPFR – T3BT,"24.75""",Schecter C,Medium,"12""",False,Ivory Tusq,43mm (1.693''),3 Way,Speed,1.0,1.0,Schecter USA Pasadena (Humbucker / Passive),Schecter USA Pasadena (Humbucker / Passive),,True,True,True,False,False,False,973.33,22,Passive-Passive
Schecter,2015.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Bolt-On,Rosewood,Maple,True,Floyd Rose,Floyd Rose Special Hot Rod Locking Tremolo (Schecter Exclusive),"25.5""",Thin C,XL Jumbo,"14""",False,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Schecter Diamond Heretic (Humbucker / Passive),Schecter Diamond Heretic (Humbucker / Passive),,False,False,True,False,False,False,565.55,24,Passive-Passive
Fender,2015.0,HHH,6.0,Mexico,Solid Body,Stratocaster,Alder,C,Bolt-On,Rosewood,Maple,True,Floyd Rose,Floyd Rose FRT-O1000 Double Locking 2-Point Tremolo,"25.5""",Dave Murray C,Medium Jumbo,"9.5"" to 14""",False,Locking,42.9mm (1.688''),5 Way,Bell,1.0,2.0,Seymour Duncan Hot Rails Strat SHR-1B (Rail Humbucker / Passive),Seymour Duncan Hot Rails Strat SHR-1N (Rail Humbucker / Passive),Seymour Duncan JB Jr. SJBJ-1N (Humbucker / Passive),True,False,True,False,False,True,1118.402,21,Passive-Passive-Passive
ESP LTD,2018.0,H,6.0,Indonesia,Solid Body,Les Paul,Mahogany,U,Set,Ebony,Mahogany,True,Fixed,Tonepros Locking TOM & Tailpiece,"24.75""",Thin U,XL Jumbo,"13.78""",False,Plastic,42mm (1.654''),0 Way,Dome,1.0,0.0,Seymour Duncan Black Winter (Humbucker / Passive),,,True,True,False,False,True,False,828.6020000000001,24,Passive
ESP LTD,2021.0,H,6.0,Indonesia,Solid Body,Explorer,Mahogany,U,Set,Ebony,Maple,True,Fixed,Tonepros Locking TOM & Tailpiece,"24.75""",Thin U,XL Jumbo,"13.78""",True,Plastic,42mm (1.654''),0 Way,Dome,1.0,0.0,EMG 81 (Humbucker / Active),,,True,True,False,False,True,False,747.3375000000001,22,Active
Dean,2020.0,HH,7.0,Indonesia,Solid Body,Super Strat,Alder,D,Bolt-On,Ebony,Maple,True,Fixed,Tune-O-Matic (String Thru w/Ferrules),"25.5""",Slim D,Jumbo,"16""",False,Plastic,48mm (1.89''),3 Way,Dome,1.0,1.0,EMG 57 TW7 (Humbucker / Active),EMG 66 TW7 (Humbucker / Active),,True,False,False,False,False,False,1080.725,24,Active-Active
Gibson,2019.0,HH,6.0,United States,Solid Body,Explorer,Mahogany,C,Set,Rosewood,Mahogany,True,Fixed,Aluminum Nashville Tune-O-Matic,"24.75""",Slim Taper,Medium Jumbo,"12""",False,Ivory Tusq,43mm (1.693''),3 Way,Speed,2.0,1.0,Gibson BurstBucker 3 (Humbucker / Passive),Gibson Burstbucker 2 (Humbucker / Passive),,True,False,False,False,False,False,1565.66,22,Passive-Passive
ESP LTD,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,U,Bolt-On,Jatoba,Maple,True,Floyd Rose,FR by Floyd Rose Tremolo,"25.5""",Thin U,XL Jumbo,"13.78""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,ESP Designed LH-301B (Humbucker / Passive),ESP Designed LH-301N (Humbucker / Passive),,False,False,True,False,False,False,701.745,24,Passive-Passive
